countrynew,mean_age,mean_gender,mean_edu,mean_religion,mean_own_willingness,mean_own_willigness_less,mean_other_willingness,wtc_own,wtc_other,hdi_2021,gdp_capita_2021,top1pct_income,top1pct_wealth,temp_mean_2010_2019,other_fight_cc,govt_fight_cc
Afghanistan,32.11596402,0.49150487,0.034355617,0.97612702,0.82046115,0.237438451,0.405198135,82,40.5,0.478,3829.662,0.1469,0.2419,13.69,88.93528,87.733887
Albania,42.73929927,0.489523551,0.12214441,0.576923213,0.712787708,0.159201976,0.440809634,71.3,43.8,0.796,15888.9033,0.0886,0.2306,12.93,87.539932,93.207947
Algeria,37.42095768,0.509744142,0.108559089,NA,0.545846257,0.074877911,0.406770862,54.6,40,0.745,15827.7456,0.2264,0.2802,12.93,83.409088,92.248062
Argentina,42.0697163,0.527878384,0.107715065,0.523479492,0.621501395,0.143054448,0.382340609,62.2,38.1,0.842,29484.4969,0.1297,0.2485,15.25,92.494926,92.878944
Armenia,42.61306716,0.450027582,0.238049505,0.779846739,0.754079138,0.124621596,0.4122235,75.4,40.7,0.759,17244.9724,0.1457,0.2401,8.38,83.05085,84.925201
Australia,48.52361025,0.500845828,0.264978047,0.217551171,0.560903439,0.24167925,0.386164079,56.1,38.6,0.951,62200.698,0.0992,0.2386,22.25,82.963715,79.12867
Austria,47.91925934,0.472320256,0.129942615,0.426234225,0.727476809,0.169590081,0.380608627,72.7,37.9,0.916,59718.9924,0.1127,0.302,7.85,86.248741,83.874237
Bangladesh,35.41746867,0.482542306,0.023729882,0.985253476,0.826164597,0.183250696,0.495687446,82.6,48.7,0.661,10047.1418,0.1577,0.2443,25.63,85.627281,93.356247
Belgium,48.39901638,0.496623554,0.327731404,0.262590685,0.614345842,0.160660735,0.37779511,61.4,37.7,0.937,59920.5051,0.0839,0.1493,10.85,91.220985,89.202827
Benin,32.4870958,0.476277745,0.024264235,0.888344454,0.84320828,0.33124949,0.441054864,84.3,44,0.525,5682.8652,0.1264,0.2479,28.28,87.797318,93.085655
Bolivia,36.23452378,0.519814259,0.164316491,0.80718699,0.846411899,0.261830369,0.439522954,84.6,44,0.692,12234.2853,0.1892,0.3016,20.81,97.085426,98.696091
Bosnia Herzegovina,42.0682163,0.504347691,0.115845636,0.69027744,0.81658904,0.09654631,0.410687789,81.7,41,0.78,17213.3119,0.0933,0.2307,10.9,86.782791,91.228065
Botswana,NA,NA,NA,NA,0.712178195,0.196199755,0.494402809,71.2,49,0.693,24346.3816,0.226,0.3671,22.28,86.282722,92.798355
Brazil,41.29699044,0.504559139,0.110201367,0.817725056,0.672812566,0.150069703,0.42575198,67.3,42.6,0.754,19112.0242,0.218,0.3787,25.69,91.783562,91.591591
Bulgaria,48.91392248,0.488098828,0.227639224,0.489207382,0.703938243,0.20301932,0.331042359,70.4,33,0.795,27701.0111,0.1656,0.2432,11.92,86.659882,89.746193
Burkina Faso,34.48921065,0.466999928,0.003585794,0.912534852,0.843912968,0.325260468,0.424608772,84.4,41.9,0.449,4221.3968,0.1452,0.2619,29.45,88.521202,90.852394
Cambodia,38.43801194,0.459348192,0.060168484,0.864377257,0.87446095,0.208307619,0.549059768,87.4,54.7,0.593,7709.4882,0.1808,0.2527,27.57,95.373665,95.320854
Cameroon,33.17958118,0.489714058,0.010886898,0.91576279,0.821357144,0.279236334,0.428186915,82.1,42.8,0.576,7868.6011,0.1313,0.262,24.95,84.067085,90.416664
Canada,49.57717139,0.49792542,0.2832919,0.362248464,0.487029566,0.249001362,0.34235555,48.7,34.2,0.936,54946.7738,0.1164,0.2446,-3.87,87.07415,81.800003
Chile,43.25393708,0.471334243,0.275951989,0.534203098,0.649242514,0.073218685,0.363835872,64.9,36,0.855,29840.6831,0.2306,0.3712,9.63,96.690796,97.854958
